Time	Step	exploration_move
1562456988.699043	0	1.000000
1562456988.699043	0	1.000000
1562456989.244887	1	1.850000
1562456989.244887	1	1.850000
1562456989.710444	2	2.608529
1562456989.710444	2	2.608529
1562456990.199743	3	3.288864
1562456990.199743	3	3.288864
1562456990.765744	4	3.900034
1562456990.765744	4	3.900034
1562456991.231739	5	4.449447
1562456991.231739	5	4.449447
1562456991.763373	6	4.943522
1562456991.763373	6	4.943522
1562456992.296830	7	4.836733
1562456992.296830	7	4.836733
1562456992.669613	8	4.688361
1562456992.669613	8	4.688361
1562456993.165773	9	4.515218
1562456993.165773	9	4.515218
1562456993.681151	10	4.327962
1562456993.681151	10	4.327962
1562456994.196852	11	4.133669
1562456994.196852	11	4.133669
1562456994.700811	12	3.937163
1562456994.700811	12	3.937163
1562456995.179712	13	3.741781
1562456995.179712	13	3.741781
1562456995.724199	14	3.549842
1562456995.724199	14	3.549842
1562456996.201617	15	3.362944
1562456996.201617	15	3.362944
1562456996.731749	16	3.182167
1562456996.731749	16	3.182167
1562456997.214617	17	3.008216
1562456997.214617	17	3.008216
1562456997.716862	18	2.841518
1562456997.716862	18	2.841518
1562456998.226724	19	2.682293
1562456998.226724	19	2.682293
1562456998.768851	20	2.530610
1562456998.768851	20	2.530610
1562456999.250300	21	2.386427
1562456999.250300	21	2.386427
1562456999.765029	22	2.249619
1562456999.765029	22	2.249619
1562457000.257888	23	2.120003
1562457000.257888	23	2.120003
1562457000.774884	24	1.997353
1562457000.774884	24	1.997353
1562457001.276984	25	1.881272
1562457001.276984	25	1.881272
1562457001.802729	26	1.771205
1562457001.802729	26	1.771205
1562457002.298356	27	1.669032
1562457002.298356	27	1.669032
1562457002.826804	28	1.574538
1562457002.826804	28	1.574538
1562457003.307160	29	1.484758
1562457003.307160	29	1.484758
