Time	Step	move_to_dispenser
1562456988.699234	0	0.000000
1562456988.699234	0	0.000000
1562456989.245036	1	0.000000
1562456989.245036	1	0.000000
1562456989.710555	2	0.000000
1562456989.710555	2	0.000000
1562456990.199878	3	0.018576
1562456990.199878	3	0.018576
1562456990.766035	4	0.046865
1562456990.766035	4	0.046865
1562456991.231870	5	0.079670
1562456991.231870	5	0.079670
1562456991.763552	6	0.114111
1562456991.763552	6	0.114111
1562456992.296984	7	1.148543
1562456992.296984	7	1.148543
1562456992.669724	8	2.081096
1562456992.669724	8	2.081096
1562456993.165881	9	2.925835
1562456993.165881	9	2.925835
1562456993.681258	10	3.692906
1562456993.681258	10	3.692906
1562456994.196960	11	4.390417
1562456994.196960	11	4.390417
1562456994.700916	12	5.025217
1562456994.700916	12	5.025217
1562456995.179821	13	5.603277
1562456995.179821	13	5.603277
1562456995.724310	14	6.129888
1562456995.724310	14	6.129888
1562456996.201725	15	6.609788
1562456996.201725	15	6.609788
1562456996.731857	16	7.047244
1562456996.731857	16	7.047244
1562456997.214721	17	7.446113
1562456997.214721	17	7.446113
1562456997.716970	18	7.809885
1562456997.716970	18	7.809885
1562456998.226845	19	8.141726
1562456998.226845	19	8.141726
1562456998.769036	20	8.444510
1562456998.769036	20	8.444510
1562456999.250441	21	8.720845
1562456999.250441	21	8.720845
1562456999.765138	22	8.973100
1562456999.765138	22	8.973100
1562457000.257992	23	9.203428
1562457000.257992	23	9.203428
1562457000.775048	24	9.413786
1562457000.775048	24	9.413786
1562457001.277095	25	9.605725
1562457001.277095	25	9.605725
1562457001.802881	26	8.509920
1562457001.802881	26	8.509920
1562457002.298466	27	7.492500
1562457002.298466	27	7.492500
1562457002.826975	28	7.896822
1562457002.826975	28	7.896822
1562457003.307274	29	6.954613
1562457003.307274	29	6.954613
