Time	activationThreshold
1561476998.897900	7.000000
1561476999.723496	1.174405
1561477000.771495	1.174405
1561477001.809203	1.174405
1561477002.857428	1.174405
1561477003.897720	1.174405
1561477004.948787	1.174405
1561477006.005612	1.174405
1561477007.051284	1.174405
1561477008.098556	1.174405
1561477009.142861	1.174405
1561477010.168109	1.174405
1561477011.270309	1.174405
1561477012.327496	1.174405
1561477013.384424	1.174405
1561477014.390527	1.174405
1561477015.451255	1.174405
1561477016.474649	1.174405
1561477017.506585	1.174405
1561477018.536065	1.174405
1561477019.586792	1.174405
1561477020.624977	1.174405
1561477021.672193	1.174405
1561477022.713095	1.174405
1561477023.748224	1.174405
1561477024.793764	1.174405
1561477025.836493	1.174405
1561477026.902970	1.174405
1561477027.979504	1.174405
1561477028.991248	1.174405
1561477030.026411	1.174405
1561477031.101511	1.174405
1561477032.105729	1.174405
1561477033.176219	1.174405
1561477034.197088	1.174405
1561477035.235659	1.174405
1561477036.266026	1.174405
1561477037.274200	1.174405
1561477038.316970	1.174405
1561477039.378361	1.174405
1561477040.397979	1.174405
1561477041.442708	1.174405
1561477042.474257	1.174405
1561477043.560430	1.174405
1561477044.570384	1.174405
1561477045.626785	1.174405
1561477046.700626	1.174405
1561477047.738654	1.174405
1561477048.774644	1.174405
1561477049.814895	1.174405
1561477050.837811	1.174405
1561477051.845577	1.174405
1561477052.942747	1.174405
1561477053.967430	1.174405
1561477055.027940	1.174405
1561477056.076370	1.174405
1561477057.143014	1.174405
1561477058.185310	1.174405
1561477059.275546	1.174405
1561477060.306872	1.174405
1561477061.326252	1.174405
1561477062.363303	1.174405
1561477063.380815	1.174405
1561477064.400382	1.174405
1561477065.479215	1.174405
1561477066.515259	1.174405
1561477067.514917	1.174405
1561477068.614347	1.174405
1561477069.656477	1.174405
1561477070.683268	1.174405
1561477071.829617	1.174405
1561477072.879358	1.174405
1561477073.968608	1.174405
1561477074.990876	1.174405
1561477075.983237	1.174405
1561477077.086325	1.174405
1561477078.177561	1.174405
1561477079.187552	1.174405
1561477080.197712	1.174405
1561477081.223667	1.174405
1561477082.446541	1.174405
1561477083.471839	1.174405
1561477084.459105	1.174405
1561477085.498723	1.174405
1561477086.561385	1.174405
1561477087.616333	1.174405
1561477088.636107	1.174405
1561477089.677106	1.174405
1561477090.740132	1.174405
1561477091.761492	1.174405
1561477092.789723	1.174405
1561477093.836335	1.174405
1561477094.853905	1.174405
1561477095.958046	1.174405
1561477097.054121	1.174405
1561477098.065005	1.174405
1561477099.084753	1.174405
1561477100.170248	1.174405
1561477101.158484	1.174405
1561477102.285681	1.174405
1561477103.338134	1.174405
1561477104.326635	1.174405
1561477105.375834	1.174405
1561477106.409113	1.174405
1561477107.472028	1.174405
1561477108.511435	1.174405
1561477109.569176	1.174405
1561477110.667989	1.174405
1561477111.758117	1.174405
1561477112.757894	1.174405
1561477113.782470	1.174405
1561477114.873436	1.174405
1561477115.897729	1.174405
1561477116.984637	1.174405
1561477118.070505	1.174405
1561477119.424221	1.174405
1561477120.309956	1.174405
1561477121.354031	1.174405
1561477122.413172	1.174405
1561477123.451963	1.174405
1561477125.197160	1.174405
1561477125.648091	1.174405
1561477126.624458	1.174405
1561477127.503509	1.174405
1561477128.871772	1.174405
1561477129.680496	1.174405
1561477130.852715	1.174405
1561477131.889467	1.174405
1561477132.893893	1.174405
1561477134.065000	1.174405
1561477135.054214	1.174405
1561477135.881452	1.174405
1561477137.242494	1.174405
1561477138.069215	1.174405
1561477139.474484	1.174405
1561477140.162045	1.174405
1561477141.527884	1.174405
1561477142.293823	1.174405
1561477143.456315	1.174405
1561477144.381671	1.174405
1561477145.591842	1.174405
1561477146.590629	1.174405
1561477147.543334	1.174405
1561477148.927530	1.174405
1561477149.777171	1.174405
1561477152.839600	1.174405
1561477153.298600	1.174405
1561477153.482722	1.174405
1561477154.088244	1.174405
1561477154.999498	1.174405
1561477156.200413	1.174405
1561477157.168669	1.174405
1561477158.127673	1.174405
1561477159.213367	1.174405
1561477161.447930	1.174405
1561477161.689864	1.174405
1561477162.475102	1.174405
1561477163.420937	1.174405
1561477164.466409	1.174405
1561477165.587944	1.174405
1561477166.518344	1.174405
1561477167.605300	1.174405
1561477168.585054	1.174405
1561477169.620265	1.174405
1561477170.796583	1.174405
1561477171.648332	1.174405
1561477172.737354	1.174405
1561477173.789176	1.174405
1561477174.845640	1.174405
1561477175.908309	1.174405
1561477177.044735	1.174405
1561477177.908360	1.174405
1561477179.097935	1.174405
1561477180.199622	1.174405
1561477181.007234	1.174405
1561477182.253640	1.174405
1561477183.337489	1.174405
1561477184.264447	1.174405
1561477185.370345	1.174405
1561477186.359633	1.174405
1561477187.398527	1.174405
1561477188.211187	1.174405
1561477189.636440	1.174405
1561477190.503748	1.174405
1561477191.454407	1.174405
1561477192.702333	1.174405
1561477193.805560	1.174405
1561477194.594450	1.174405
1561477195.839908	1.174405
1561477196.798907	1.174405
1561477197.807480	1.174405
1561477198.924770	1.174405
1561477200.016320	1.174405
1561477201.060125	1.174405
1561477202.007128	1.174405
1561477203.235314	1.174405
1561477209.529850	1.174405
1561477209.857263	1.174405
1561477210.106188	1.174405
1561477210.674438	1.174405
1561477210.934300	1.174405
1561477211.121511	1.174405
1561477211.906610	1.174405
1561477212.896862	1.174405
1561477213.986431	1.174405
1561477214.755568	1.174405
1561477218.545797	1.174405
1561477218.749969	1.174405
1561477218.934207	1.174405
1561477219.393090	1.174405
1561477219.589641	1.174405
