Time	Step	attach
1563053117.512405	0	0.000000
1563053117.512405	0	0.000000
1563053118.330456	1	0.000000
1563053118.330456	1	0.000000
1563053118.801665	2	0.222222
1563053118.801665	2	0.222222
1563053119.300593	3	0.480418
1563053119.300593	3	0.480418
1563053119.772710	4	0.725965
1563053119.772710	4	0.725965
1563053120.228127	5	0.947912
1563053120.228127	5	0.947912
1563053120.617610	6	1.144833
1563053120.617610	6	1.144833
1563053121.071130	7	1.318091
1563053121.071130	7	1.318091
1563053121.546074	8	1.469857
1563053121.546074	8	1.469857
1563053122.082383	9	1.602444
1563053122.082383	9	1.602444
1563053122.594808	10	1.718061
1563053122.594808	10	1.718061
1563053123.089794	11	1.818737
1563053123.089794	11	1.818737
1563053123.623075	12	1.906295
1563053123.623075	12	1.906295
1563053124.130200	13	1.982355
1563053124.130200	13	1.982355
1563053124.645826	14	2.048352
1563053124.645826	14	2.048352
1563053125.159828	15	2.105552
1563053125.159828	15	2.105552
1563053125.718928	16	2.122138
1563053125.718928	16	2.122138
1563053126.120833	17	2.103157
1563053126.120833	17	2.103157
1563053126.553091	18	2.053072
1563053126.553091	18	2.053072
1563053127.070196	19	1.975820
1563053127.070196	19	1.975820
1563053127.581562	20	1.874868
1563053127.581562	20	1.874868
1563053128.103967	21	1.752785
1563053128.103967	21	1.752785
1563053128.554675	22	1.611631
1563053128.554675	22	1.611631
1563053129.089518	23	1.456625
1563053129.089518	23	1.456625
1563053129.592260	24	1.292041
1563053129.592260	24	1.292041
1563053130.093582	25	1.121337
1563053130.093582	25	1.121337
1563053130.616113	26	0.947311
1563053130.616113	26	0.947311
1563053131.118758	27	0.772220
1563053131.118758	27	0.772220
1563053131.604432	28	0.692030
1563053131.604432	28	0.692030
1563053132.116929	29	1.528798
1563053132.116929	29	1.528798
1563053132.631878	30	1.018329
