Time	Step	connect
1562459128.505345	0	0.000000
1562459128.505345	0	0.000000
1562459129.352555	1	0.250000
1562459129.352555	1	0.250000
1562459129.929482	2	0.448529
1562459129.929482	2	0.448529
1562459130.376833	3	0.617627
1562459130.376833	3	0.617627
1562459131.039334	4	0.764815
1562459131.039334	4	0.764815
1562459131.577019	5	0.894211
1562459131.577019	5	0.894211
1562459132.160707	6	1.008594
1562459132.160707	6	1.008594
1562459132.724352	7	1.110053
1562459132.724352	7	1.110053
1562459133.172899	8	1.200257
1562459133.172899	8	1.200257
1562459133.754339	9	1.280585
1562459133.754339	9	1.280585
1562459134.311709	10	1.351706
1562459134.311709	10	1.351706
1562459134.837524	11	1.415188
1562459134.837524	11	1.415188
1562459135.368291	12	1.472253
1562459135.368291	12	1.472253
1562459135.785702	13	1.523880
1562459135.785702	13	1.523880
1562459136.200098	14	1.569769
1562459136.200098	14	1.569769
1562459137.079918	15	1.609966
1562459137.079918	15	1.609966
1562459137.663099	16	1.644121
1562459137.663099	16	1.644121
1562459138.038022	17	1.672922
1562459138.038022	17	1.672922
1562459138.555886	18	1.697183
1562459138.555886	18	1.697183
1562459139.101744	19	1.717586
1562459139.101744	19	1.717586
1562459139.536836	20	1.734709
1562459139.536836	20	1.734709
1562459140.079089	21	1.749035
1562459140.079089	21	1.749035
1562459140.622412	22	1.760980
1562459140.622412	22	1.760980
1562459141.113116	23	1.770895
1562459141.113116	23	1.770895
1562459141.680440	24	1.779081
1562459141.680440	24	1.779081
1562459142.189662	25	1.785793
1562459142.189662	25	1.785793
1562459142.819258	26	1.791253
1562459142.819258	26	1.791253
1562459143.359464	27	1.795649
1562459143.359464	27	1.795649
1562459143.762217	28	1.799142
1562459143.762217	28	1.799142
1562459144.151991	29	1.801872
1562459144.151991	29	1.801872
1562459144.655204	30	1.803957
1562459144.655204	30	1.803957
1562459145.135455	31	1.805500
1562459145.135455	31	1.805500
1562459145.656342	32	1.806588
1562459145.656342	32	1.806588
1562459146.141426	33	1.807297
1562459146.141426	33	1.807297
1562459146.651426	34	1.807691
1562459146.651426	34	1.807691
1562459147.083858	35	1.807825
1562459147.083858	35	1.807825
1562459147.586660	36	1.807747
1562459147.586660	36	1.807747
1562459148.120400	37	1.807496
1562459148.120400	37	1.807496
1562459148.614226	38	1.807106
1562459148.614226	38	1.807106
1562459149.161757	39	1.806607
1562459149.161757	39	1.806607
1562459149.639655	40	1.806024
1562459149.639655	40	1.806024
1562459150.173416	41	1.805376
1562459150.173416	41	1.805376
1562459150.678030	42	1.804683
1562459150.678030	42	1.804683
1562459151.275730	43	1.803957
1562459151.275730	43	1.803957
1562459151.686378	44	1.803213
1562459151.686378	44	1.803213
1562459152.193407	45	1.802459
1562459152.193407	45	1.802459
1562459152.719585	46	1.801704
1562459152.719585	46	1.801704
1562459153.211529	47	1.800955
1562459153.211529	47	1.800955
1562459153.727890	48	1.800218
1562459153.727890	48	1.800218
1562459154.216751	49	1.799496
1562459154.216751	49	1.799496
1562459154.718071	50	1.798794
1562459154.718071	50	1.798794
1562459155.221905	51	1.798114
1562459155.221905	51	1.798114
1562459155.744772	52	1.797457
1562459155.744772	52	1.797457
1562459156.214005	53	1.796826
1562459156.214005	53	1.796826
1562459156.653920	54	1.796221
1562459156.653920	54	1.796221
1562459157.150029	55	1.795643
1562459157.150029	55	1.795643
1562459157.642747	56	1.795092
1562459157.642747	56	1.795092
1562459158.171740	57	1.799054
1562459158.171740	57	1.799054
1562459158.639210	58	1.802168
1562459158.639210	58	1.802168
1562459159.204398	59	1.809327
1562459159.204398	59	1.809327
1562459159.700680	60	1.820013
1562459159.700680	60	1.820013
1562459160.224512	61	1.828360
1562459160.224512	61	1.828360
1562459160.907658	62	1.834735
1562459160.907658	62	1.834735
1562459161.453523	63	1.839452
1562459161.453523	63	1.839452
1562459162.026682	64	1.847860
1562459162.026682	64	1.847860
1562459162.463484	65	1.854085
1562459162.463484	65	1.854085
1562459162.982462	66	1.858485
1562459162.982462	66	1.858485
1562459163.534509	67	1.861368
1562459163.534509	67	1.861368
1562459164.106417	68	1.862995
1562459164.106417	68	1.862995
1562459164.681632	69	1.863592
1562459164.681632	69	1.863592
1562459165.230580	70	1.863347
1562459165.230580	70	1.863347
1562459165.794440	71	1.867313
1562459165.794440	71	1.867313
1562459166.265782	72	1.869758
1562459166.265782	72	1.869758
1562459166.801170	73	1.876062
1562459166.801170	73	1.876062
1562459167.278260	74	1.880303
1562459167.278260	74	1.880303
1562459167.688169	75	1.882837
1562459167.688169	75	1.882837
1562459168.298733	76	1.889161
1562459168.298733	76	1.889161
1562459169.269112	77	1.914027
1562459169.269112	77	1.914027
1562459169.815040	78	1.955199
1562459169.815040	78	1.955199
1562459170.272535	79	2.010445
1562459170.272535	79	2.010445
