Time	Step	detach
1562541675.502929	0	0.500000
1562541675.502929	0	0.500000
1562541676.219847	1	0.950000
1562541676.219847	1	0.950000
1562541677.207014	2	1.355000
1562541677.207014	2	1.355000
1562541678.199860	3	1.719500
1562541678.199860	3	1.719500
1562541679.247422	4	2.047550
1562541679.247422	4	2.047550
1562541680.232735	5	2.342795
1562541680.232735	5	2.342795
1562541681.239458	6	2.608516
1562541681.239458	6	2.608516
1562541682.224194	7	2.847664
1562541682.224194	7	2.847664
1562541683.241731	8	3.062898
1562541683.241731	8	3.062898
1562541684.244121	9	3.256608
1562541684.244121	9	3.256608
1562541685.242286	10	3.430947
1562541685.242286	10	3.430947
1562541686.253782	11	3.587852
1562541686.253782	11	3.587852
1562541687.269010	12	3.729067
1562541687.269010	12	3.729067
1562541688.299178	13	3.856160
1562541688.299178	13	3.856160
1562541689.299651	14	3.970544
1562541689.299651	14	3.970544
1562541690.237250	15	4.073490
1562541690.237250	15	4.073490
1562541691.226569	16	4.166141
1562541691.226569	16	4.166141
1562541692.249451	17	4.249527
1562541692.249451	17	4.249527
1562541693.251589	18	4.324574
1562541693.251589	18	4.324574
1562541694.245526	19	4.392117
1562541694.245526	19	4.392117
1562541695.257485	20	4.452905
1562541695.257485	20	4.452905
1562541696.299005	21	4.507615
1562541696.299005	21	4.507615
1562541697.285716	22	4.556853
1562541697.285716	22	4.556853
1562541698.285526	23	4.601168
1562541698.285526	23	4.601168
1562541699.303931	24	4.641051
1562541699.303931	24	4.641051
1562541700.305588	25	4.676946
1562541700.305588	25	4.676946
1562541701.329681	26	4.709251
1562541701.329681	26	4.709251
1562541702.329020	27	4.738326
1562541702.329020	27	4.738326
1562541703.307769	28	4.764494
1562541703.307769	28	4.764494
1562541704.312737	29	4.788044
1562541704.312737	29	4.788044
1562541705.354733	30	4.809240
1562541705.354733	30	4.809240
1562541706.334502	31	4.828316
1562541706.334502	31	4.828316
1562541707.334223	32	4.845484
1562541707.334223	32	4.845484
1562541708.347183	33	4.860936
1562541708.347183	33	4.860936
1562541710.346502	34	4.874842
1562541710.346502	34	4.874842
1562541711.365351	35	4.887358
1562541711.365351	35	4.887358
1562541712.375165	36	4.898622
1562541712.375165	36	4.898622
1562541713.367304	37	4.908760
1562541713.367304	37	4.908760
1562541714.371761	38	4.917884
1562541714.371761	38	4.917884
1562541715.373306	39	4.926096
1562541715.373306	39	4.926096
1562541716.388424	40	4.933486
1562541716.388424	40	4.933486
1562541717.409524	41	4.940137
1562541717.409524	41	4.940137
1562541718.391208	42	4.946124
1562541718.391208	42	4.946124
1562541719.399974	43	5.092229
1562541719.399974	43	5.092229
1562541720.413991	44	5.083007
1562541720.413991	44	5.083007
1562541721.434493	45	5.074706
1562541721.434493	45	5.074706
1562541722.481604	46	5.067235
1562541722.481604	46	5.067235
1562541723.418864	47	5.060512
1562541723.418864	47	5.060512
1562541724.454401	48	5.054461
1562541724.454401	48	5.054461
1562541725.720744	49	5.049015
1562541725.720744	49	5.049015
1562541726.471493	50	5.044113
1562541726.471493	50	5.044113
1562541727.441001	51	5.039702
1562541727.441001	51	5.039702
1562541728.451747	52	5.035732
1562541728.451747	52	5.035732
1562541729.457501	53	5.032158
1562541729.457501	53	5.032158
1562541730.484337	54	5.028943
1562541730.484337	54	5.028943
1562541731.445153	55	5.026048
1562541731.445153	55	5.026048
1562541732.614998	56	5.023443
1562541732.614998	56	5.023443
1562541733.469268	57	5.021099
1562541733.469268	57	5.021099
1562541734.512347	58	5.018989
1562541734.512347	58	5.018989
1562541735.511239	59	5.017090
1562541735.511239	59	5.017090
1562541736.513459	60	5.015381
1562541736.513459	60	5.015381
1562541737.536729	61	5.013843
1562541737.536729	61	5.013843
1562541738.516810	62	5.012459
1562541738.516810	62	5.012459
1562541739.513077	63	5.011213
1562541739.513077	63	5.011213
1562541740.517455	64	5.010092
1562541740.517455	64	5.010092
1562541741.505939	65	5.009082
1562541741.505939	65	5.009082
1562541742.533423	66	5.008174
1562541742.533423	66	5.008174
1562541743.515879	67	5.007357
1562541743.515879	67	5.007357
1562541744.537183	68	5.006621
