Time	Step	dispense
1562522129.918748	0	0.000000
1562522129.918748	0	0.000000
1562522130.649429	1	0.000000
1562522130.649429	1	0.000000
1562522131.017362	2	0.000000
1562522131.017362	2	0.000000
1562522131.504014	3	0.031686
1562522131.504014	3	0.031686
1562522131.955976	4	0.080067
1562522131.955976	4	0.080067
1562522132.499977	5	0.135748
1562522132.499977	5	0.135748
1562522133.019539	6	0.193632
1562522133.019539	6	0.193632
1562522133.480536	7	0.250908
1562522133.480536	7	0.250908
1562522133.978227	8	0.306009
1562522133.978227	8	0.306009
1562522134.502236	9	0.358080
1562522134.502236	9	0.358080
1562522135.051644	10	0.406691
1562522135.051644	10	0.406691
1562522135.519631	11	0.451670
1562522135.519631	11	0.451670
1562522136.023355	12	0.493007
1562522136.023355	12	0.493007
1562522136.530510	13	0.530792
1562522136.530510	13	0.530792
1562522137.048513	14	0.565177
1562522137.048513	14	0.565177
1562522137.552334	15	0.596348
1562522137.552334	15	0.596348
1562522138.088182	16	0.630063
1562522138.088182	16	0.630063
1562522138.475364	17	0.701242
1562522138.475364	17	0.701242
1562522138.984076	18	0.798960
1562522138.984076	18	0.798960
1562522139.488792	19	0.914901
1562522139.488792	19	0.914901
1562522139.986708	20	1.042707
1562522139.986708	20	1.042707
1562522140.557869	21	1.177507
1562522140.557869	21	1.177507
1562522141.003585	22	1.315090
1562522141.003585	22	1.315090
1562522141.738487	23	1.451442
1562522141.738487	23	1.451442
1562522142.035526	24	1.584623
1562522142.035526	24	1.584623
1562522142.510347	25	1.713250
1562522142.510347	25	1.713250
1562522143.019811	26	1.836371
1562522143.019811	26	1.836371
1562522143.512824	27	1.953362
1562522143.512824	27	1.953362
1562522144.053899	28	2.063850
1562522144.053899	28	2.063850
1562522144.534927	29	2.167653
1562522144.534927	29	2.167653
1562522145.027625	30	2.264735
1562522145.027625	30	2.264735
1562522145.564957	31	2.355172
1562522145.564957	31	2.355172
1562522146.056107	32	2.439120
1562522146.056107	32	2.439120
1562522146.554565	33	2.516796
1562522146.554565	33	2.516796
1562522147.054539	34	2.590856
1562522147.054539	34	2.590856
1562522147.589478	35	2.662472
1562522147.589478	35	2.662472
1562522148.059195	36	2.731425
1562522148.059195	36	2.731425
1562522148.555726	37	2.797570
1562522148.555726	37	2.797570
1562522149.126897	38	2.860821
1562522149.126897	38	2.860821
1562522149.573904	39	2.921138
1562522149.573904	39	2.921138
1562522150.074467	40	3.629024
1562522150.074467	40	3.629024
1562522150.624549	41	3.266122
1562522150.624549	41	3.266122
1562522151.221233	42	2.909838
1562522151.221233	42	2.909838
1562522151.588991	43	2.936327
1562522151.588991	43	2.936327
1562522152.088300	44	2.593175
1562522152.088300	44	2.593175
1562522152.625902	45	2.412640
1562522152.625902	45	2.412640
1562522153.115629	46	2.231390
1562522153.115629	46	2.231390
1562522153.620818	47	2.048855
1562522153.620818	47	2.048855
1562522154.136572	48	1.865202
1562522154.136572	48	1.865202
1562522154.621697	49	1.680540
1562522154.621697	49	1.680540
1562522155.129552	50	1.512486
1562522155.129552	50	1.512486
1562522155.637174	51	1.361238
1562522155.637174	51	1.361238
1562522156.125770	52	1.225114
1562522156.125770	52	1.225114
1562522156.626304	53	1.102602
1562522156.626304	53	1.102602
1562522157.146159	54	0.992342
1562522157.146159	54	0.992342
1562522157.673022	55	0.893108
1562522157.673022	55	0.893108
1562522158.182395	56	0.803797
1562522158.182395	56	0.803797
1562522158.680689	57	0.723417
1562522158.680689	57	0.723417
1562522159.143081	58	0.651076
1562522159.143081	58	0.651076
1562522159.669541	59	0.585968
1562522159.669541	59	0.585968
1562522160.178103	60	0.527371
1562522160.178103	60	0.527371
1562522160.670773	61	0.474634
1562522160.670773	61	0.474634
1562522161.171408	62	0.427171
1562522161.171408	62	0.427171
1562522161.679853	63	0.384454
1562522161.679853	63	0.384454
1562522162.206321	64	0.346008
1562522162.206321	64	0.346008
1562522162.674972	65	0.311408
1562522162.674972	65	0.311408
1562522163.184122	66	0.280267
1562522163.184122	66	0.280267
1562522163.724378	67	0.252240
1562522163.724378	67	0.252240
1562522164.216534	68	0.227016
1562522164.216534	68	0.227016
1562522164.723726	69	0.204314
1562522164.723726	69	0.204314
1562522165.226170	70	0.183883
1562522165.226170	70	0.183883
1562522165.757859	71	0.165495
1562522165.757859	71	0.165495
1562522166.240096	72	0.148945
1562522166.240096	72	0.148945
1562522166.773665	73	0.134051
1562522166.773665	73	0.134051
1562522167.558208	74	0.120646
1562522167.558208	74	0.120646
1562522168.055955	75	0.108581
1562522168.055955	75	0.108581
1562522168.514827	76	0.097723
1562522168.514827	76	0.097723
1562522168.923938	77	0.087951
1562522168.923938	77	0.087951
1562522169.309939	78	0.079156
1562522169.309939	78	0.079156
1562522169.912715	79	0.071240
1562522169.912715	79	0.071240
1562522170.334669	80	0.064116
1562522170.334669	80	0.064116
1562522170.768877	81	0.057704
1562522170.768877	81	0.057704
1562522171.294501	82	0.051934
1562522171.294501	82	0.051934
