Time	Step	go_to_goal_area
1562522129.919193	0	0.000000
1562522129.919193	0	0.000000
1562522130.649813	1	0.250000
1562522130.649813	1	0.250000
1562522131.017747	2	0.436111
1562522131.017747	2	0.436111
1562522131.504421	3	0.585703
1562522131.504421	3	0.585703
1562522131.956567	4	0.711639
1562522131.956567	4	0.711639
1562522132.500385	5	0.820104
1562522132.500385	5	0.820104
1562522133.019939	6	0.914706
1562522133.019939	6	0.914706
1562522133.481045	7	0.997859
1562522133.481045	7	0.997859
1562522133.978623	8	1.071323
1562522133.978623	8	1.071323
1562522134.502684	9	1.136463
1562522134.502684	9	1.136463
1562522135.052088	10	1.194379
1562522135.052088	10	1.194379
1562522135.520048	11	1.245979
1562522135.520048	11	1.245979
1562522136.023810	12	1.292029
1562522136.023810	12	1.292029
1562522136.530936	13	1.333182
1562522136.530936	13	1.333182
1562522137.048922	14	1.370002
1562522137.048922	14	1.370002
1562522137.552728	15	1.402980
1562522137.552728	15	1.402980
1562522138.088571	16	1.092822
1562522138.088571	16	1.092822
1562522138.475750	17	0.814123
1562522138.475750	17	0.814123
1562522138.984460	18	0.563384
1562522138.984460	18	0.563384
1562522139.489181	19	0.337535
1562522139.489181	19	0.337535
1562522139.987097	20	0.133869
1562522139.987097	20	0.133869
1562522140.558270	21	0.000000
1562522140.558270	21	0.000000
1562522141.004038	22	0.000000
1562522141.004038	22	0.000000
1562522141.739083	23	0.000000
1562522141.739083	23	0.000000
1562522142.035918	24	0.000000
1562522142.035918	24	0.000000
1562522142.510730	25	0.000000
1562522142.510730	25	0.000000
1562522143.020192	26	0.000000
1562522143.020192	26	0.000000
1562522143.513216	27	0.000000
1562522143.513216	27	0.000000
1562522144.054297	28	0.000000
1562522144.054297	28	0.000000
1562522144.535287	29	0.000000
1562522144.535287	29	0.000000
1562522145.028009	30	0.000000
1562522145.028009	30	0.000000
1562522145.565346	31	0.000000
1562522145.565346	31	0.000000
1562522146.056493	32	0.000000
1562522146.056493	32	0.000000
