Time	Step	reach_meeting_point
1562541675.502798	0	0.000000
1562541675.502798	0	0.000000
1562541676.219697	1	0.000000
1562541676.219697	1	0.000000
1562541677.206838	2	0.111111
1562541677.206838	2	0.111111
1562541678.199707	3	0.232288
1562541678.199707	3	0.232288
1562541679.247277	4	0.345091
1562541679.247277	4	0.345091
1562541680.232582	5	0.446377
1562541680.232582	5	0.446377
1562541681.239302	6	0.536267
1562541681.239302	6	0.536267
1562541682.224043	7	0.615689
1562541682.224043	7	0.615689
1562541683.241579	8	0.685734
1562541683.241579	8	0.685734
1562541684.243968	9	0.747465
1562541684.243968	9	0.747465
1562541685.242134	10	0.801856
1562541685.242134	10	0.801856
1562541686.253639	11	0.849777
1562541686.253639	11	0.849777
1562541687.268861	12	0.892003
1562541687.268861	12	0.892003
1562541688.299023	13	0.929215
1562541688.299023	13	0.929215
1562541689.299502	14	0.962013
1562541689.299502	14	0.962013
1562541690.237098	15	0.990652
1562541690.237098	15	0.990652
1562541691.226418	16	1.015252
1562541691.226418	16	1.015252
1562541692.249301	17	1.036068
1562541692.249301	17	1.036068
1562541693.251436	18	1.053428
1562541693.251436	18	1.053428
1562541694.245369	19	1.067686
1562541694.245369	19	1.067686
1562541695.257331	20	1.078800
1562541695.257331	20	1.078800
1562541696.298854	21	1.086935
1562541696.298854	21	1.086935
1562541697.285563	22	1.092731
1562541697.285563	22	1.092731
1562541698.285372	23	1.096714
1562541698.285372	23	1.096714
1562541699.303779	24	1.099319
1562541699.303779	24	1.099319
1562541700.305443	25	1.100903
1562541700.305443	25	1.100903
1562541701.329527	26	1.101759
1562541701.329527	26	1.101759
1562541702.328842	27	1.102125
1562541702.328842	27	1.102125
1562541703.307616	28	1.102194
1562541703.307616	28	1.102194
1562541704.312584	29	1.111012
1562541704.312584	29	1.111012
1562541705.354579	30	1.114122
1562541705.354579	30	1.114122
1562541706.334346	31	1.136163
1562541706.334346	31	1.136163
1562541707.334080	32	1.139742
1562541707.334080	32	1.139742
1562541708.347032	33	1.172849
1562541708.347032	33	1.172849
1562541710.346354	34	2.175993
1562541710.346354	34	2.175993
1562541711.365212	35	3.082462
1562541711.365212	35	3.082462
1562541712.375015	36	3.901415
1562541712.375015	36	3.901415
1562541713.367150	37	4.641830
1562541713.367150	37	4.641830
1562541714.371607	38	5.311801
1562541714.371607	38	5.311801
1562541715.373157	39	5.917312
1562541715.373157	39	5.917312
1562541716.388256	40	6.463448
1562541716.388256	40	6.463448
1562541717.409378	41	6.956021
1562541717.409378	41	6.956021
1562541718.391059	42	7.400280
1562541718.391059	42	7.400280
1562541719.399825	43	6.519534
1562541719.399825	43	6.519534
1562541720.413832	44	5.695916
1562541720.413832	44	5.695916
1562541721.434341	45	4.982790
1562541721.434341	45	4.982790
1562541722.481450	46	4.370709
1562541722.481450	46	4.370709
1562541723.418714	47	3.851181
1562541723.418714	47	3.851181
1562541724.454249	48	3.416558
1562541724.454249	48	3.416558
1562541725.720587	49	3.059937
1562541725.720587	49	3.059937
1562541726.471340	50	2.753943
1562541726.471340	50	2.753943
1562541727.440852	51	2.478549
1562541727.440852	51	2.478549
1562541728.451576	52	2.230694
1562541728.451576	52	2.230694
1562541729.457352	53	2.007625
1562541729.457352	53	2.007625
1562541730.484186	54	1.806862
1562541730.484186	54	1.806862
1562541731.445003	55	1.626176
1562541731.445003	55	1.626176
1562541732.614707	56	1.463558
1562541732.614707	56	1.463558
1562541733.469118	57	1.317203
1562541733.469118	57	1.317203
1562541734.512196	58	1.185482
1562541734.512196	58	1.185482
1562541735.511088	59	1.066934
1562541735.511088	59	1.066934
1562541736.513309	60	0.960241
1562541736.513309	60	0.960241
1562541737.536580	61	0.864217
1562541737.536580	61	0.864217
1562541738.516658	62	0.777795
1562541738.516658	62	0.777795
1562541739.512898	63	0.700015
1562541739.512898	63	0.700015
1562541740.517303	64	0.630014
1562541740.517303	64	0.630014
1562541741.505798	65	0.567012
1562541741.505798	65	0.567012
1562541742.533273	66	0.510311
1562541742.533273	66	0.510311
1562541743.515728	67	0.459280
1562541743.515728	67	0.459280
1562541744.537031	68	0.413352
