Time	Step	submit
1562522129.919261	0	0.500000
1562522129.919261	0	0.500000
1562522130.649907	1	0.950000
1562522130.649907	1	0.950000
1562522131.017821	2	1.355000
1562522131.017821	2	1.355000
1562522131.504513	3	1.719500
1562522131.504513	3	1.719500
1562522131.956680	4	2.047550
1562522131.956680	4	2.047550
1562522132.500462	5	2.342795
1562522132.500462	5	2.342795
1562522133.020012	6	2.608516
1562522133.020012	6	2.608516
1562522133.481118	7	2.847664
1562522133.481118	7	2.847664
1562522133.978697	8	3.062898
1562522133.978697	8	3.062898
1562522134.502771	9	3.256608
1562522134.502771	9	3.256608
1562522135.052175	10	3.430947
1562522135.052175	10	3.430947
1562522135.520127	11	3.587852
1562522135.520127	11	3.587852
1562522136.023888	12	3.729067
1562522136.023888	12	3.729067
1562522136.531019	13	3.856160
1562522136.531019	13	3.856160
1562522137.048997	14	3.970544
1562522137.048997	14	3.970544
1562522137.552802	15	4.073490
1562522137.552802	15	4.073490
1562522138.088646	16	4.166141
1562522138.088646	16	4.166141
1562522138.475824	17	4.249527
1562522138.475824	17	4.249527
1562522138.984533	18	4.324574
1562522138.984533	18	4.324574
1562522139.489255	19	4.392117
1562522139.489255	19	4.392117
1562522139.987170	20	4.452905
1562522139.987170	20	4.452905
1562522140.558345	21	4.507615
1562522140.558345	21	4.507615
1562522141.004113	22	4.556853
1562522141.004113	22	4.556853
1562522141.739204	23	4.601168
1562522141.739204	23	4.601168
1562522142.035993	24	4.641051
1562522142.035993	24	4.641051
1562522142.510802	25	4.676946
1562522142.510802	25	4.676946
1562522143.020264	26	4.709251
1562522143.020264	26	4.709251
1562522143.513289	27	4.738326
1562522143.513289	27	4.738326
1562522144.054371	28	4.764494
1562522144.054371	28	4.764494
1562522144.535355	29	4.788044
1562522144.535355	29	4.788044
1562522145.028082	30	4.809240
1562522145.028082	30	4.809240
1562522145.565420	31	4.828316
1562522145.565420	31	4.828316
1562522146.056566	32	4.845484
1562522146.056566	32	4.845484
1562522146.555021	33	4.860936
1562522146.555021	33	4.860936
1562522147.055060	34	4.874842
1562522147.055060	34	4.874842
1562522147.589961	35	4.887358
1562522147.589961	35	4.887358
1562522148.059675	36	4.898622
1562522148.059675	36	4.898622
1562522148.556180	37	4.908760
1562522148.556180	37	4.908760
1562522149.127650	38	4.917884
1562522149.127650	38	4.917884
1562522149.574389	39	4.926096
1562522149.574389	39	4.926096
1562522150.074927	40	4.933486
1562522150.074927	40	4.933486
1562522150.625039	41	4.940137
1562522150.625039	41	4.940137
1562522151.221710	42	4.946124
1562522151.221710	42	4.946124
1562522151.589467	43	4.951511
1562522151.589467	43	4.951511
1562522152.088734	44	4.956360
1562522152.088734	44	4.956360
1562522152.626366	45	4.960724
1562522152.626366	45	4.960724
1562522153.116088	46	4.964652
1562522153.116088	46	4.964652
1562522153.621282	47	4.968187
1562522153.621282	47	4.968187
1562522154.137036	48	4.971368
1562522154.137036	48	4.971368
1562522154.622182	49	4.974231
